Nome	Nascimento	Identidade	CPF	Endereço	Telefone	Email	Profiss„o	Escolaridade	Dados MÈdicos (alergias, doenças, necessidade especial)	Como soube do trabalho dos NUDEC's
Kauan G Rocha	10/06/1990	31217101	33108958520		(21)717283980	KauanGRocha@net.com	Estudante	Superior Incompleto	Alergia a L·ctose	Internet
AntÙnio S Almeida	04/03/1998	430245321	17615319423		(21)701352819	AntonioSAlmeida@net.com	Bombeiro	Superior Incompleto		Palestras
Nicolas R Pinto	8/13/1987	240581922	53153484166		(21)342214927	NicolasRPinto@net.com	Empres·rio	Ensio MÈdio Completo		Amigos
Nicole O Lima	01/10/1991	350198743	91102205657		(21)705941271	NicoleOLima@net.com	Eletricista	Ensio MÈdio Completo		Jornal
Marisa R Azevedo	2/15/1982	968700248	58167509111		(21)169842760	MarisaRAzevedo@net.com	Professor	Superior Completo		Internet
Aline C Rodrigues	05/04/1994	143367860	1214681370		(21)998956612	AlineCRodrigues@net.com	Estudante	Superior Incompleto	Bronquite	Internet
ThaÌs F Pereira	02/03/1988	631349210	55719033826		(21)911220759	ThaisFPereira@net.com	Estudante	Superior Incompleto		Amigos
Kau„ F Souza	8/24/1987	176250608	21689114025		(21)379700211	KauaFSouza@net.com	Estudante	Superior Incompleto		Amigos
Kau„ C Lima	8/24/1991	789100455	26011476820		(21)930826315	KauaCLima@net.com	TÈcnico de Enfermagem	Superior Completo		Palestras
Kauan G Alves	08/05/1986	132246907	36592424948		(21)104185763	KauanGAlves@net.com	Professor	Superior Completo		Jornal
Maria A Cunha	3/22/1992	388905420	85468610057		(21)248663552	MariaACunha@net.com	Militar	Superior Completo	Asma	Televis„o
Diogo C Azevedo	5/24/1985	629308787	66274009752		(21)730150520	DiogoCAzevedo@net.com	TÈcnico de Enfermagem	Superior Completo		Internet
Diego C Souza	03/03/1999	302124674	13318045668		(21)409251841	DiegoCSouza@net.com	Bombeiro	Superior Completo		Internet
Emilly G Fernandes	8/29/1979	120368324	52211280668		(21)62018465	EmillyGFernandes@net.com	Estudante	Superior Incompleto		Televis„o
Julian C Cardoso	12/01/1984	235003477	83006729281		(21)338665378	JulianCCardoso@net.com	Estudante	Superior Incompleto	Alergias M˙ltiplas	Jornal
Ot·vio P Goncalves	02/06/1992	103527371	32506940800		(21)197647698	OtavioPGoncalves@net.com	TÈcnico de Enfermagem	Superior Completo		Amigos
ThaÌs C Souza	05/05/1986	351762603	18464320217		(21)178666014	ThaisCSouza@net.com	MÈdico	Superior Completo		Amigos
Martim S Gomes	11/04/1984	203772811	35977362674		(21)508536728	MartimSGomes@net.com	Estudante	Superior Incompleto		Jornal
Samuel C Rocha	2/13/1984	175158077	11743564388		(21)387500911	SamuelCRocha@net.com	Advogado	Superior Completo		Internet
										Internet
